Frame;Elapsed_Time_In_Milliseconds;Time;Thumb_CMC_Spread;Thumb_CMC_Flex;Thumb_PIP_Flex;Thumb_DIP_Flex;Index_MCP_Spread;Index_MCP_Flex;Index_PIP_Flex;Index_DIP_Flex;Middle_MCP_Spread;Middle_MCP_Flex;Middle_PIP_Flex;Middle_DIP_Flex;Ring_MCP_Spread;Ring_MCP_Flex;Ring_PIP_Flex;Ring_DIP_Flex;Pinky_MCP_Spread;Pinky_MCP_Flex;Pinky_PIP_Flex;Pinky_DIP_Flex;Thumb_CMC_Spread_AngularVelocity;Thumb_CMC_Flex_AngularVelocity;Thumb_PIP_Flex_AngularVelocity;Thumb_DIP_Flex_AngularVelocity;Index_MCP_Spread_AngularVelocity;Index_MCP_Flex_AngularVelocity;Index_PIP_Flex_AngularVelocity;Index_DIP_Flex_AngularVelocity;Middle_MCP_Spread_AngularVelocity;Middle_MCP_Flex_AngularVelocity;Middle_PIP_Flex_AngularVelocity;Middle_DIP_Flex_AngularVelocity;Ring_MCP_Spread_AngularVelocity;Ring_MCP_Flex_AngularVelocity;Ring_PIP_Flex_AngularVelocity;Ring_DIP_Flex_AngularVelocity;Pinky_MCP_Spread_AngularVelocity;Pinky_MCP_Flex_AngularVelocity;Pinky_PIP_Flex_AngularVelocity;Pinky_DIP_Flex_AngularVelocity;Thumb_CMC_Spread_AngularAcceleration;Thumb_CMC_Flex_AngularAcceleration;Thumb_PIP_Flex_AngularAcceleration;Thumb_DIP_Flex_AngularAcceleration;Index_MCP_Spread_AngularAcceleration;Index_MCP_Flex_AngularAcceleration;Index_PIP_Flex_AngularAcceleration;Index_DIP_Flex_AngularAcceleration;Middle_MCP_Spread_AngularAcceleration;Middle_MCP_Flex_AngularAcceleration;Middle_PIP_Flex_AngularAcceleration;Middle_DIP_Flex_AngularAcceleration;Ring_MCP_Spread_AngularAcceleration;Ring_MCP_Flex_AngularAcceleration;Ring_PIP_Flex_AngularAcceleration;Ring_DIP_Flex_AngularAcceleration;Pinky_MCP_Spread_AngularAcceleration;Pinky_MCP_Flex_AngularAcceleration;Pinky_PIP_Flex_AngularAcceleration;Pinky_DIP_Flex_AngularAcceleration
0;0;00:00:00:000;39,31261;2,291156;3,0944;27,21391;2,122463;2,410703;103,5072;93,73032;-14,23607;3,550051;94,39276;85,52501;-21,35846;5,25326;99,9141;90,79885;-21,83082;3,649695;21,58138;20,57561;2358,756;137,4693;185,664;1632,834;127,3478;144,6422;6210,435;5623,819;-854,1641;213,0031;5663,565;5131,5;-1281,507;315,1956;5994,846;5447,931;-1309,849;218,9817;1294,883;1234,537;141525,4;8248,16;11139,84;97970,05;7640,867;8678,529;372626,1;337429,2;-51249,84;12780,18;339813,9;307890;-76890,45;18911,73;359690,7;326875,8;-78590,93;13138,9;77692,97;74072,2
1;16;00:00:00:016;39,31261;2,291156;3,0944;27,21391;2,122463;2,410703;103,5072;93,73032;-14,23607;3,550051;94,39276;85,52501;-21,35846;5,25326;99,9141;90,79885;-21,83082;3,649695;21,58138;20,57561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-141525,4;-8248,16;-11139,84;-97970,05;-7640,867;-8678,529;-372626,1;-337429,2;51249,84;-12780,18;-339813,9;-307890;76890,45;-18911,73;-359690,7;-326875,8;78590,93;-13138,9;-77692,97;-74072,2
2;32;00:00:00:032;39,64912;2,107612;3,0944;26,74064;2,0374;2,494342;103,5072;93,73033;-14,37739;3,550768;88,7192;80,41982;-21,44304;5,090467;99,97276;90,8517;-21,94625;3,654092;21,58137;20,57561;20,19081;-11,01262;0;-28,39588;-5,103764;5,01832;0;0,000458;-8,479328;0,043015;-340,4136;-306,3112;-5,074653;-9,76756;3,519287;3,170929;-6,925964;0,263801;-0,000572;0;1211,448;-660,7571;0;-1703,753;-306,2258;301,0992;0;0,027466;-508,7597;2,580928;-20424,82;-18378,67;-304,4792;-586,0536;211,1572;190,2557;-415,5578;15,82804;-0,034332;0
3;48;00:00:00:048;39,76359;2,044545;3,094273;26,62929;2,013728;2,310883;103,5072;93,73036;-14,53661;3,55154;82,29808;74,64213;-21,52096;5,091353;99,97276;90,85169;-22,05627;3,658322;21,58137;20,57561;6,868286;-3,784003;-0,007596;-6,681175;-1,420326;-11,00751;-0,000916;0,001831;-9,552955;0,04632;-385,2672;-346,6617;-4,675598;0,053129;0,000458;-0,000458;-6,601181;0,253844;0;0;-799,3514;433,717;-0,455761;1302,882;221,0063;-961,5499;-0,054932;0,082397;-64,41759;0,198269;-2691,211;-2421,03;23,94333;589,2413;-211,1297;-190,2832;19,487;-0,597382;0,034332;0
4;64;00:00:00:064;39,76359;2,044545;3,094273;26,62929;2,013728;2,310883;103,5072;93,73036;-14,53661;3,55154;82,29808;74,64213;-21,52096;5,091353;99,97276;90,85169;-22,05627;3,658322;21,58137;20,57561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-412,0971;227,0402;0,455761;400,8705;85,21956;660,4507;0,054932;-0,109863;573,1772;-2,779197;23116,03;20799,7;280,5359;-3,187751;-0,027466;0,027466;396,0708;-15,23065;0;0
5;80;00:00:00:080;40,04576;1,887307;3,0944;26,68496;2,240007;1,712808;103,5072;93,73035;-14,54345;3,551595;73,20938;66,46431;-21,68769;4,512017;99,97272;90,85172;-22,72435;3,683924;18,98896;18,2464;16,93016;-9,434279;0,007596;3,340301;13,57671;-35,88451;-0,000458;-0,000916;-0,4105;0,003304;-545,322;-490,6691;-10,00385;-34,76017;-0,002289;0,001831;-40,08476;1,536083;-155,545;-139,7531;1015,81;-566,0568;0,455761;200,4181;814,6027;-2153,07;-0,027466;-0,054932;-24,62997;0,198269;-32719,32;-29440,14;-600,2311;-2085,61;-0,137329;0,109863;-2405,085;92,16498;-9332,699;-8385,184
6;96;00:00:00:096;40,74221;3,785819;3,094337;26,68497;2,328181;1,170359;100,9063;91,38934;-14,57157;2,839246;66,70135;60,60847;-21,75397;3,333898;98,84388;89,83405;-23,18888;3,701898;17,71473;17,10159;41,78695;113,9107;-0,003791;0,000572;5,29046;-32,5469;-156,0544;-140,4607;-1,687488;-42,74095;-390,482;-351,3503;-3,976478;-70,68715;-67,73071;-61,06018;-27,8722;1,078463;-76,45385;-68,68835;1491,407;7400,696;-0,683212;-200,3837;-497,1751;200,2563;-9363,234;-8427,584;-76,61933;-2564,655;9290,397;8359,125;361,6424;-2155,619;-4063,705;-3663,72;732,7536;-27,45723;4745,469;4263,882
7;112;00:00:00:112;41,28219;5,445872;3,0944;26,68496;2,386467;0,75873;100,4081;90,94094;-14,5269;2,291491;64,82528;58,92039;-21,82549;2,6913;97,74434;88,84283;-23,43543;3,71146;17,33392;16,75947;32,39868;99,60322;0,003791;-0,000572;3,497157;-24,69777;-29,89197;-26,90368;2,680378;-32,8653;-112,5641;-101,285;-4,291306;-38,55583;-65,97244;-59,47311;-14,79252;0,573692;-22,84847;-20,52704;-563,2963;-858,4469;0,454903;-0,068665;-107,5982;470,9477;7569,744;6813,418;262,072;592,5389;16675,07;15003,92;-18,88963;1927,879;105,4962;95,22399;784,7808;-30,28622;3216,323;2889,679
8;128;00:00:00:128;42,12476;8,771176;3,094337;26,68496;2,500924;0;99,47033;90,09682;-14,61925;1,304463;61,63024;56,04549;-21,91668;1,464067;95,50129;86,82085;-23,77262;3,724678;16,57231;16,07525;50,55404;199,5182;-0,003791;0;6,867427;-45,52379;-56,26739;-50,64697;-5,541;-59,22167;-191,7025;-172,4938;-5,47142;-73,63402;-134,583;-121,3188;-20,23144;0,793104;-45,69625;-41,0535;1089,322;5994,901;-0,454903;0,034332;202,2162;-1249,561;-1582,525;-1424,597;-493,2826;-1581,382;-4748,304;-4272,527;-70,80685;-2104,691;-4116,632;-3710,742;-326,3351;13,16471;-1370,867;-1231,588
9;144;00:00:00:144;42,53209;11,12132;3,0944;26,68496;2,378005;-0,13417;98,67903;89,38464;-14,68046;0,28599;58,87503;53,5663;-22,12629;0,886028;95,29603;86,63586;-23,98329;3,732923;15,75213;15,33839;24,44023;141,0085;0,003791;0;-7,375173;-8,050223;-47,47787;-42,73086;-3,67258;-61,10837;-165,3124;-148,7517;-12,57671;-34,68232;-12,31567;-11,09939;-12,64046;0,494671;-49,21096;-44,21115;-1566,829;-3510,585;0,454903;0;-854,556;2248,414;527,3712;474,9664;112,1052;-113,202;1583,404;1424,528;-426,3175;2337,102;7336,038;6613,165;455,4587;-17,906;-210,8826;-189,4592
