Frame;Elapsed_Time_In_Milliseconds;Time;Thumb_CMC_Spread;Thumb_CMC_Flex;Thumb_PIP_Flex;Thumb_DIP_Flex;Index_MCP_Spread;Index_MCP_Flex;Index_PIP_Flex;Index_DIP_Flex;Middle_MCP_Spread;Middle_MCP_Flex;Middle_PIP_Flex;Middle_DIP_Flex;Ring_MCP_Spread;Ring_MCP_Flex;Ring_PIP_Flex;Ring_DIP_Flex;Pinky_MCP_Spread;Pinky_MCP_Flex;Pinky_PIP_Flex;Pinky_DIP_Flex;Thumb_CMC_Spread_AngularVelocity;Thumb_CMC_Flex_AngularVelocity;Thumb_PIP_Flex_AngularVelocity;Thumb_DIP_Flex_AngularVelocity;Index_MCP_Spread_AngularVelocity;Index_MCP_Flex_AngularVelocity;Index_PIP_Flex_AngularVelocity;Index_DIP_Flex_AngularVelocity;Middle_MCP_Spread_AngularVelocity;Middle_MCP_Flex_AngularVelocity;Middle_PIP_Flex_AngularVelocity;Middle_DIP_Flex_AngularVelocity;Ring_MCP_Spread_AngularVelocity;Ring_MCP_Flex_AngularVelocity;Ring_PIP_Flex_AngularVelocity;Ring_DIP_Flex_AngularVelocity;Pinky_MCP_Spread_AngularVelocity;Pinky_MCP_Flex_AngularVelocity;Pinky_PIP_Flex_AngularVelocity;Pinky_DIP_Flex_AngularVelocity;Thumb_CMC_Spread_AngularAcceleration;Thumb_CMC_Flex_AngularAcceleration;Thumb_PIP_Flex_AngularAcceleration;Thumb_DIP_Flex_AngularAcceleration;Index_MCP_Spread_AngularAcceleration;Index_MCP_Flex_AngularAcceleration;Index_PIP_Flex_AngularAcceleration;Index_DIP_Flex_AngularAcceleration;Middle_MCP_Spread_AngularAcceleration;Middle_MCP_Flex_AngularAcceleration;Middle_PIP_Flex_AngularAcceleration;Middle_DIP_Flex_AngularAcceleration;Ring_MCP_Spread_AngularAcceleration;Ring_MCP_Flex_AngularAcceleration;Ring_PIP_Flex_AngularAcceleration;Ring_DIP_Flex_AngularAcceleration;Pinky_MCP_Spread_AngularAcceleration;Pinky_MCP_Flex_AngularAcceleration;Pinky_PIP_Flex_AngularAcceleration;Pinky_DIP_Flex_AngularAcceleration
0;0;00:00:00:000;47,99065;50,93699;3,0944;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;2879,439;3056,219;185,664;83,18106;-122,9624;5004,622;6210,433;5623,82;-411,1407;5013,118;6214,647;5627,396;-724,4094;5009,553;6199,358;5632,305;-802,08;4990,225;6198,719;5648,727;172766,3;183373,1;11139,84;4990,863;-7377,741;300277,3;372626;337429,2;-24668,44;300787,1;372878,8;337643,8;-43464,56;300573,2;371961,5;337938,3;-48124,79;299413,5;371923,1;338923,6
1;16,66667;00:00:00:017;47,99065;50,93699;3,0944;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-172766,3;-183373,1;-11139,84;-4990,863;7377,741;-300277,3;-372626;-337429,2;24668,44;-300787,1;-372878,8;-337643,8;43464,56;-300573,2;-371961,5;-337938,3;48124,79;-299413,5;-371923,1;-338923,6
2;33,33333;00:00:00:033;47,98564;50,93699;3,094273;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-0,300751;0,000458;-0,007596;0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18,04504;0,027466;-0,455761;0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;50;00:00:00:050;47,98564;50,93699;3,094273;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,04504;-0,027466;0,455761;-0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;66,66666;00:00:00:067;48,21235;51,07211;3,094337;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;13,60222;8,106995;0,003805;-0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;816,133;486,4196;0,22831;-0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;83,33333;00:00:00:083;48,39513;51,15096;3,0944;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;10,9671;4,730758;0,003791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-158,107;-202,5742;-0,000858;0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;100;00:00:00:100;48,35693;51,12249;3,0944;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-2,292022;-1,707687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-795,5474;-386,3067;-0,227451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;116,6667;00:00:00:117;48,34786;51,12393;3,094273;1,38621;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-0,544281;0,086288;-0,007596;-0,008469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104,8645;107,6385;-0,455761;-0,508118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;133,3333;00:00:00:133;48,40191;51,14831;3,094337;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;3,243026;1,462555;0,003805;0,016944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227,2384;82,57598;0,684071;1,524782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;150;00:00:00:150;48,31956;51,16067;3,0944;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-4,940643;0,741806;0,003791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-491,0201;-43,24493;-0,000858;-1,016665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
